25.957,55.66
78.469,4.9671
69.968,12.903
44.946,47.593
56.687,94.92
16.366,55.816
41.632,49.394
45.642,37.475
99.48,86.888
77.531,68.604
29.3,33.063
17.345,20.609
17.216,78.288
59.992,90.029
83.66,96.553
79.595,85.505
85.891,21.923
85.974,65.881
82.769,16.878
63.371,50.83
79.701,28.511
69.098,71.134
93.658,90.228
1.2128,52.588
15.14,7.3013
53.112,45.891
94.735,63.04
25.407,38.998
61.651,72.642
46.969,59.713
77.116,75.263
78.027,6.1698
52.377,47.556
12.505,79.763
29.054,40.175
43.422,48.202
0.98631,99.822
32.833,25.32
40.626,86.317
26.351,65.741
6.6497,92.864
6.3976,38.144
21.068,56.385
93.024,90.619
10.625,15.692
45.51,28.312
25.578,54.146
58.37,51.005
24.211,65.269
14.455,54.5
