85.45,19.15
5.8242,68.119
99.657,72.79
63.366,92.143
41.421,73.084
61.369,50.405
99.738,14.051
63.092,74.788
49.123,8.6421
6.4015,1.2557
83.286,14.437
38.906,35.617
72.829,30.488
15.942,67.265
45.844,87.924
66.042,47.876
77.937,12.449
19.942,52.804
45.919,16.393
94.054,72.558
86.866,84.671
94.031,54.049
57.254,45.196
88.899,51.925
73.149,17.548
72.827,95.808
38.945,1.3263
83.267,43.267
40.881,22.644
12.781,30.966
92.287,80.505
48.784,46.765
41.129,71.201
10.168,76.178
26.097,12.767
32.2,60.937
97.148,22.087
96.5,53.303
1.5279,51.627
1.4406,32.745
51.475,39.177
28.904,36.184
27.421,18.035
6.9819,42.147
7.478,84.236
86.416,6.6111
78.93,99.13
35.57,52.772
4.8863,50.596
34.388,22.904
